"Delivery Date","Hour Ending","Total Cleared AS - RegDown"
"01/30/2023","1","267.1"
"01/30/2023","2","216"
"01/30/2023","3","210.2"
"01/30/2023","4","237.4"
"01/30/2023","5","197.2"
"01/30/2023","6","284.7"
"01/30/2023","7","239"
"01/30/2023","8","211.7"
"01/30/2023","9","721.9"
"01/30/2023","10","530.8"
"01/30/2023","11","473.8"
"01/30/2023","12","439"
"01/30/2023","13","400.3"
"01/30/2023","14","373.2"
"01/30/2023","15","427.3"
"01/30/2023","16","375.1"
"01/30/2023","17","289.2"
"01/30/2023","18","216.6"
"01/30/2023","19","292.8"
"01/30/2023","20","258.1"
"01/30/2023","21","274.6"
"01/30/2023","22","294.9"
"01/30/2023","23","375.9"
"01/30/2023","24","325.9"
