"Delivery Date","Hour Ending","Total Self-Arranged AS - RegUp"
"01/31/2023","1","7.9"
"01/31/2023","2","6.4"
"01/31/2023","3","8.3"
"01/31/2023","4","9.6"
"01/31/2023","5","12.4"
"01/31/2023","6","18.5"
"01/31/2023","7","21"
"01/31/2023","8","13"
"01/31/2023","9","10.5"
"01/31/2023","10","13.5"
"01/31/2023","11","14"
"01/31/2023","12","12.1"
"01/31/2023","13","13.1"
"01/31/2023","14","11.2"
"01/31/2023","15","12.4"
"01/31/2023","16","14.4"
"01/31/2023","17","23.2"
"01/31/2023","18","27.1"
"01/31/2023","19","12.7"
"01/31/2023","20","7.7"
"01/31/2023","21","7.9"
"01/31/2023","22","6"
"01/31/2023","23","6.7"
"01/31/2023","24","6.8"
