"Delivery Date","Hour Ending","Total Self-Arranged AS - RegDown"
"02/01/2023","1","9.2"
"02/01/2023","2","7.6"
"02/01/2023","3","7.2"
"02/01/2023","4","6"
"02/01/2023","5","9.9"
"02/01/2023","6","17"
"02/01/2023","7","10"
"02/01/2023","8","18.8"
"02/01/2023","9","29.2"
"02/01/2023","10","19.4"
"02/01/2023","11","17"
"02/01/2023","12","16.1"
"02/01/2023","13","16.3"
"02/01/2023","14","16.1"
"02/01/2023","15","14.7"
"02/01/2023","16","16.1"
"02/01/2023","17","16"
"02/01/2023","18","12"
"02/01/2023","19","10.6"
"02/01/2023","20","11.1"
"02/01/2023","21","10.6"
"02/01/2023","22","10.2"
"02/01/2023","23","12.1"
"02/01/2023","24","10.2"
