"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSUFR"
"02/01/2023","1","521.2"
"02/01/2023","2","524.3"
"02/01/2023","3","521.2"
"02/01/2023","4","518.4"
"02/01/2023","5","514.9"
"02/01/2023","6","505.1"
"02/01/2023","7","486.1"
"02/01/2023","8","480.4"
"02/01/2023","9","482.7"
"02/01/2023","10","485.2"
"02/01/2023","11","497.3"
"02/01/2023","12","501.6"
"02/01/2023","13","506.1"
"02/01/2023","14","509.5"
"02/01/2023","15","507.7"
"02/01/2023","16","507.7"
"02/01/2023","17","506.1"
"02/01/2023","18","504.1"
"02/01/2023","19","495"
"02/01/2023","20","493.5"
"02/01/2023","21","493.8"
"02/01/2023","22","496.1"
"02/01/2023","23","514.9"
"02/01/2023","24","519.7"
