"Delivery Date","Hour Ending","Total Cleared AS - RRSPFR"
"02/03/2023","1","1501.5"
"02/03/2023","2","1502"
"02/03/2023","3","1466.8"
"02/03/2023","4","1467"
"02/03/2023","5","1466.8"
"02/03/2023","6","1443.2"
"02/03/2023","7","1393.6"
"02/03/2023","8","1391.2"
"02/03/2023","9","1387.7"
"02/03/2023","10","1334"
"02/03/2023","11","1419.8"
"02/03/2023","12","1380.9"
"02/03/2023","13","1379.3"
"02/03/2023","14","1379.9"
"02/03/2023","15","1331.9"
"02/03/2023","16","1331.4"
"02/03/2023","17","1331.5"
"02/03/2023","18","1336.9"
"02/03/2023","19","1337.9"
"02/03/2023","20","1340.6"
"02/03/2023","21","1342"
"02/03/2023","22","1359.7"
"02/03/2023","23","1447.9"
"02/03/2023","24","1432.2"
