"Delivery Date","Hour Ending","Total Cleared AS - RRSUFR"
"02/03/2023","1","932.5"
"02/03/2023","2","932.7"
"02/03/2023","3","937.8"
"02/03/2023","4","941"
"02/03/2023","5","944.2"
"02/03/2023","6","977.1"
"02/03/2023","7","1003"
"02/03/2023","8","1008.1"
"02/03/2023","9","1005.3"
"02/03/2023","10","1051.1"
"02/03/2023","11","1033"
"02/03/2023","12","1025.4"
"02/03/2023","13","1017.7"
"02/03/2023","14","1009.4"
"02/03/2023","15","1008.4"
"02/03/2023","16","1006.1"
"02/03/2023","17","1007.7"
"02/03/2023","18","1007.1"
"02/03/2023","19","1017.4"
"02/03/2023","20","1021.7"
"02/03/2023","21","1021.7"
"02/03/2023","22","1019.8"
"02/03/2023","23","1002.9"
"02/03/2023","24","995.7"
