"Delivery Date","Hour Ending","Total Self-Arranged AS - NonSpin"
"02/03/2023","1","253"
"02/03/2023","2","253"
"02/03/2023","3","253"
"02/03/2023","4","253"
"02/03/2023","5","253"
"02/03/2023","6","253"
"02/03/2023","7","199"
"02/03/2023","8","199"
"02/03/2023","9","199"
"02/03/2023","10","199"
"02/03/2023","11","199"
"02/03/2023","12","199"
"02/03/2023","13","199"
"02/03/2023","14","199"
"02/03/2023","15","199"
"02/03/2023","16","199"
"02/03/2023","17","199"
"02/03/2023","18","199"
"02/03/2023","19","199"
"02/03/2023","20","199"
"02/03/2023","21","199"
"02/03/2023","22","199"
"02/03/2023","23","253"
"02/03/2023","24","253"
