"Delivery Date","Hour Ending","Total Cleared AS - RegUp"
"02/04/2023","1","230.3"
"02/04/2023","2","202.3"
"02/04/2023","3","205.3"
"02/04/2023","4","265.2"
"02/04/2023","5","375.7"
"02/04/2023","6","490.5"
"02/04/2023","7","587"
"02/04/2023","8","385.8"
"02/04/2023","9","297.8"
"02/04/2023","10","423.5"
"02/04/2023","11","418.6"
"02/04/2023","12","385.6"
"02/04/2023","13","404.8"
"02/04/2023","14","447.1"
"02/04/2023","15","446"
"02/04/2023","16","508.7"
"02/04/2023","17","593.4"
"02/04/2023","18","899.2"
"02/04/2023","19","632.4"
"02/04/2023","20","229.7"
"02/04/2023","21","249.1"
"02/04/2023","22","181.6"
"02/04/2023","23","248.2"
"02/04/2023","24","176.5"
