"Delivery Date","Hour Ending","Total Cleared AS - RRSFFR"
"02/04/2023","1","0"
"02/04/2023","2","0"
"02/04/2023","3","0"
"02/04/2023","4","0"
"02/04/2023","5","0"
"02/04/2023","6","0"
"02/04/2023","7","0"
"02/04/2023","8","0"
"02/04/2023","9","0"
"02/04/2023","10","0"
"02/04/2023","11","0"
"02/04/2023","12","0"
"02/04/2023","13","0"
"02/04/2023","14","0"
"02/04/2023","15","0"
"02/04/2023","16","0"
"02/04/2023","17","0"
"02/04/2023","18","0"
"02/04/2023","19","0"
"02/04/2023","20","0"
"02/04/2023","21","0"
"02/04/2023","22","0"
"02/04/2023","23","0"
"02/04/2023","24","0"
